Country Name,Country Code,Indicator Name,Indicator Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Timor-Leste,TLS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Tonga,TON,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
South Asia (IDA & IBRD),TSA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Trinidad and Tobago,TTO,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Tunisia,TUN,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Turkey,TUR,Wholesale price index (2010 = 100),FP.WPI.TOTL,80.75843975,91.02859546,92.15248919,100,111.0852868,117.8529188,123.1343125,,,,,,
Tuvalu,TUV,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Tanzania,TZA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Uganda,UGA,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
Ukraine,UKR,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,
